	nominal.GDP 	GDP.deflator
1970	2775.1 	        4.5
1971	3434.5          5
1972	4241.1 	        5.8
1973	5499.0 	        6.6
1974	7845.4 	        8.6
1975	10477.8 	10.7
1976	14410.8 	13
1977	18502.0 	14.9
1978	24944.7 	18.2
1979	32049.4 	21.6
1980	39109.6 	26.8
1981	49305.7 	31.5
1982	56676.8 	33.4
1983	66685.1 	35
1984	76523.5 	36.6
1985	85699.1 	38.1
1986	100254.1 	39.7
1987	117938.2 	41.6
1988	140524.8 	44.4
1989	158620.1 	47
1990	191382.8 	51.9
1991	231428.2 	57.2
1992	263993.2 	61.7
1993	298761.6 	65.6
1994	349972.6 	70.7
1995	409653.6 	75.9
1996	460952.6 	79.7
1997	506313.6 	82.8
1998	501027.2 	86.9
1999	549005.0 	86
2000	603236.0 	86.8
2001	651415.3 	90.2
2002	720539.0 	93.1
2003	767113.7 	96.4
2004	826892.7 	99.4
2005	865240.9 	100
2006	908743.8 	99.9
2007	975013.0 	101.9
2008	1026451.8 	104.9
2009	1065036.8 	108.5
2010	1173274.9 	112.4
2011	1235160.5 	114.1
2012	1272459.5 	115.2
