country,year,lgaspcar,lincomep,lrpmg,lcarpcap
Austria,2001,1.391594166,10.07174061,-0.211956362,-0.654008035
Austria,2002,1.514229721,10.1492918,-0.193584749,-0.706779785
Austria,2003,1.520959345,10.34511739,-0.005012542,-0.694279162
Austria,2004,1.488272805,10.47522881,0.163818085,-0.687832935
Austria,2005,1.440834818,10.51575049,0.249980205,-0.683455071
Austria,2006,1.394472692,10.5719045,0.313349819,-0.677868758
Austria,2007,1.354081414,10.712499,0.428530381,-0.670471302
Austria,2008,1.235910804,10.81928262,0.569848964,-0.665592915
Austria,2009,1.232185088,10.72954465,0.501982194,-0.651488926
Belgium,2001,1.371996048,10.02284628,-0.103140759,-0.786620922
Belgium,2002,1.31710522,10.10483729,-0.080126044,-0.782505573
Belgium,2003,1.315636266,10.30836499,0.139761942,-0.776615293
Belgium,2004,1.217545597,10.4503475,0.348541961,-0.771357164
Belgium,2005,1.119238904,10.48962898,0.463734016,-0.768023265
Belgium,2006,0.920888576,10.53973636,0.529451088,-0.760738542
Belgium,2007,0.855537366,10.67020255,0.639746404,-0.752579674
Belgium,2008,0.881928713,10.76052064,0.755652386,-0.744391263
Belgium,2009,0.603863504,10.68170863,0.636081091,-0.737518467
Czech,2001,1.517189246,8.70346145,-0.329893921,-1.065346375
Czech,2002,1.495141589,8.905901078,-0.286349627,-1.028436269
Czech,2003,1.566091093,9.099829952,-0.125563223,-1.013152859
Czech,2004,1.530500987,9.280396891,0.038258712,-0.984872649
Czech,2005,1.478538925,9.408048037,0.173112618,-0.949976405
Czech,2006,1.420128519,9.540489948,0.270790205,-0.916057925
Czech,2007,1.421624521,9.737145796,0.374318379,-0.881482978
Czech,2008,1.34715724,9.943455246,0.574363645,-0.857241224
Czech,2009,1.348944294,9.807574931,0.482020426,-0.851725742
Denmark,2001,2.044145531,10.30895006,-0.014098924,-0.926252641
Denmark,2002,2.165432168,10.38560233,0.038258712,-1.043509915
Denmark,2003,2.164448013,10.58393458,0.222343231,-1.044987346
Denmark,2004,2.142210074,10.72194199,0.337899789,-1.037212635
Denmark,2005,2.085008427,10.77094705,0.409457129,-1.011066156
Denmark,2006,2.04165603,10.83078778,0.478095799,-0.987214059
Denmark,2007,2.014717142,10.95380949,0.58221562,-0.967982805
Denmark,2008,1.952344741,11.04066989,0.699626147,-0.962083683
Denmark,2009,1.882692091,10.93402785,0.699022328,-0.958487836
Finland,2001,1.963153028,10.08638611,-0.007024615,-0.88262851
Finland,2002,1.965174405,10.16805358,0.012916225,-0.869437058
Finland,2003,1.932627668,10.358648,0.212689093,-0.836062913
Finland,2004,1.919026548,10.49548221,0.348541961,-0.807677314
Finland,2005,1.881813044,10.52718125,0.408792898,-0.776002243
Finland,2006,1.843827668,10.58262929,0.47995396,-0.749325628
Finland,2007,1.810253137,10.7472437,0.575489137,-0.72153184
Finland,2008,1.652088166,10.84539248,0.732367894,-0.683359163
Finland,2009,1.600153447,10.71654003,0.679333806,-0.660313761
France,2001,1.372356201,10.02300916,-0.075801713,-0.723896205
France,2002,1.321161245,10.10036598,-0.044997366,-0.714834133
France,2003,1.242435333,10.30227726,0.138891999,-0.710499991
France,2004,1.178283085,10.42967886,0.276115436,-0.705134278
France,2005,1.112043299,10.46172862,0.366031039,-0.704264555
France,2006,1.042111569,10.5102427,0.439544422,-0.702194485
France,2007,0.986047683,10.6395057,0.555607767,-0.701878721
France,2008,0.891385395,10.72816743,0.68461085,-0.702462363
France,2009,0.850921384,10.64584928,0.634491266,-0.701429822
Germany,2001,1.671679631,10.03961878,-0.086647807,-0.617908209
Germany,2002,1.638178452,10.10498352,-0.012072581,-0.613877403
Germany,2003,1.579307512,10.29126895,0.21107097,-0.606123313
Germany,2004,1.537654961,10.40840486,0.344298673,-0.598022359
