year	corp.bond.rate	inflation
1975	20.1		25.30
1976	21.7		15.30
1977	19.6		10.10
1978	22.6		14.50
1979	27.8		18.30
1980	28.2		28.70
1981	26.9		21.40
1982	15.9		7.20
1983	14.2		3.40
1984	15		2.30
1985	13.6		2.50
1986	12.8		2.80
1987	12.62		3.00
1988	14.18		7.10
1989	15.17		5.70
1990	16.48		8.60
1991	18.89		9.30
1992	16.21		6.20
1993	12.63		4.80
1994	12.92		6.30
1995	13.79		4.50
1996	11.87		4.90
1997	13.39		4.40
1998	15.10		7.50
1999	8.86		0.80
2000	9.35		2.30
2001	7.05		4.10
2002	6.56		2.80
2003	5.43		3.50
2004	4.73		3.60
2005	4.68		2.80
2006	5.17		2.20
2007	5.70		2.50
2008	7.02		4.70
2009	5.81		2.80
2010	4.66		3.00
2011	4.41		4.00
2012	3.77		2.20

