year	dY	real.GDP.rate
1975	0	7.337530336
1976	-0.2	13.45557235
1977	-0.1	11.81770377
1978	-0.6	10.29756967
1979	0.6	8.389769978
1980	1.4	-1.890796563
1981	-0.7	7.404018555
1982	-0.1	8.291327895
1983	-0.3	12.18204714
1984	-0.3	9.859133474
1985	0.2	7.470951374
1986	-0.2	12.2397343
1987	-0.7	12.26592124
1988	-0.6	11.66053834
1989	0.1	6.752007619
1990	-0.2	9.297386449
1991	0	9.712864367
1992	0.1	5.765207188
1993	0.4	6.329397147
1994	-0.4	8.771851597
1995	-0.4	8.930687099
1996	-0.1	7.185887169
1997	0.6	5.766738893
1998	4.4	-5.713891854
1999	-0.7	10.73059598
2000	-2.2	8.797775265
2001	-0.3	3.973464362
2002	-0.7	7.150018505
2003	0.3	2.802776286
2004	0.1	4.619033529
2005	0	3.957153703
2006	-0.2	5.178673361
2007	-0.3	5.105835522
2008	0	2.298376031
2009	0.4	0.319499625
2010	0	6.320254036
2011	-0.4	3.682144379
2012	-0.2	2.044098507

