Q		C	K	L
2388.849	282	742	3677
3000.001	1000	1555	3877
2090.346	625	1121	3048
1187.617	759	555	1679
1472.234	618	1486	214
2537		945	1900	3198
927.0781	979	1505	896
1064.702	598	1432	1247
561.2803	526	1895	234
2061.527	1057	1150	2933
202.195		206	588	3139
836.5169	882	616	1060
2283.795	434	1171	3357
1285.962	240	647	1873
1821.077	706	760	2683
715.485		429	1254	728
1730.79		500	1148	4117
2260.736	896	1008	3315
2171.583	501	1410	3070
851.6138	403	1349	900
3277.165	577	1549	4866
1897.957	538	1231	2682
753.5403	323	1004	857
2234.965	599	1779	3066
523.6145	851	1986	112
4066.832	795	972	4711
744.6221	809	789	883
671.0359	511	1938	408
2310.63		933	705	3499
