year	import
1965	463.442
1966	716.441
1967	996.246
1968	1462.873
1969	1823.611
1970	1983.973
1971	2394.32
1972	2522.022
1973	4240.277
1974	6851.848
1975	7274.434
1976	8773.632
1977	10810.538
1978	14971.93
1979	20338.611
1980	22291.663
1981	26131.421
1982	24250.84
1983	26192.221
1984	30631.441
1985	31135.655
1986	31583.9
1987	41019.812
1988	51810.632
1989	61464.772
1990	69843.678
1991	81524.858
1992	81775.257
1993	83800.142
1994	102348.175
1995	135118.933
1996	150339.1
1997	144616.374
1998	93281.754
1999	119752.282
2000	160481.018
2001	141097.821
2002	152126.153
2003	178826.657
2004	224462.687
2005	261238.264
2006	309382.632
2007	356845.733
2008	435274.737
2009	323084.521
2010	425212.16
2011	524413.09
2012	519581.584
