year	M1		GDP.def
1970	272.6		4.5
1971	332.5		5
1972	423.8		5.8
1973	640.5		6.6
1974	796.8		8.6
1975	1025.1		10.7
1976	1335.8		13
1977	1869.4		14.9
1978	2614.7		18.2
1979	3382.2		21.6
1980	4075.9		26.8
1981	5120.5		31.5
1982	7684.5		33.4
1983	9922.4		35
1984	11154.1		36.6
1985	13005.5		38.1
1986	16710.8		39.7
1987	21281.5		41.6
1988	26580.2		44.4
1989	30645.7		47
1990	38053.9		51.9
1991	45744.2		57.2
1992	55349.9		61.7
1993	68106.3		65.6
1994	77914.9		70.7
1995	87706.3		75.9
1996	99811.9		79.7
1997	117963		82.8
1998	113659.4	86.9
1999	147285.2	86
2000	183349.9	86.8
2001	216442.4	90.2
2002	265042.4	93.1
2003	283397.4	96.4
2004	306842.5	99.4
2005	332902.1	100
2006	330134.1	99.9
2007	312832.3	101.9
2008	307273.6	104.9
2009	357344.1	108.5
2010	399412.3	112.4
2011	425675.1	114.4
